Citing Journal Data,,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2016,2015,2014,2013,2012,2011,2010,2009,2008,,2007,Rest
210,5.667,PSYCHOL SCI,3,0,0,0,0,0,1,0,0,1,,0,1
211,1.839,Q J POLIT SCI,3,0,0,0,0,0,0,1,0,2,,0,0
212,1.333,QME-QUANT MARK ECON,3,0,0,0,0,0,0,1,0,0,,0,2
213, ,SPRINGER SERIES STAT,3,0,0,0,0,0,0,0,0,0,,0,3
214,0.606,THEOR DECIS,3,0,0,0,0,0,0,1,0,0,,0,2
215, ,TIME SERIES ANAL,3,0,0,0,0,0,0,0,0,1,,0,2
216, ,TIME SERIES ANAL FOR,3,0,0,0,1,0,0,0,0,1,,0,1
217, ,WEATHER FORECAST,3,0,0,0,0,0,0,0,0,1,,0,2
218, ,11467 NBER,2,0,0,0,0,0,0,0,0,0,,0,2
219, ,20 NBER,2,0,0,0,0,0,0,0,0,0,,0,2
220,2.158,ACCOUNT ORG SOC,2,0,0,0,0,0,0,0,0,0,,1,1
221, ,ANN I STAT MATH,2,0,0,0,0,0,1,0,0,0,,0,1
222, ,APPL EC FORECASTING,2,0,0,0,0,0,0,0,0,0,,0,2
223, ,APPL FINANC EC LE,2,0,0,0,0,0,0,0,0,0,,0,2
224, ,APPL NONPARAMETRIC R,2,0,0,0,0,0,0,0,0,0,,0,2
225, ,ARTIF INTELL,2,0,0,0,0,0,0,1,0,0,,0,1
226, ,ATTENTION EFFORT,2,0,0,0,0,0,0,0,0,0,,0,2
227, ,AUST NZ J STAT,2,0,0,1,0,0,0,0,0,0,,0,1
228, ,BANK ENGL Q B,2,0,0,1,0,0,0,0,0,0,,0,1
229, ,BELL J ECON,2,0,0,0,0,0,0,0,0,0,,0,2
230, ,BERNOULLI,2,0,0,0,0,0,0,0,1,0,,0,1
231, ,BIOSTATISTICS,2,0,0,0,0,0,0,1,0,1,,0,0
232, ,CA-CANCER J CLIN,2,0,0,1,0,0,0,0,0,0,,0,1
233, ,CANCER-AM CANCER SOC,2,0,0,0,0,1,0,0,0,0,,0,1
234, ,CEPR DISCUSSION PAPE,2,0,0,0,0,2,0,0,0,0,,0,0
235, ,COAST ENG,2,0,0,0,0,0,1,0,0,0,,0,1
236, ,COMMUN STAT-THEOR M,2,0,0,0,0,0,0,0,0,1,,1,0
237,1.053,COMPUT ECON,2,0,0,0,1,0,1,0,0,0,,0,0
238, ,CURR ISSUES EC FI,2,0,0,0,0,0,0,0,0,0,,0,2
239,1.595,DECISION SCI,2,0,0,0,0,0,0,0,0,0,,0,2
240, ,DEMOGRAPHY MEASURING,2,0,0,0,0,0,0,0,0,0,,0,2
241, ,DISTRIBUTION FREE MU,2,0,0,0,0,0,0,0,0,0,,0,2
242, ,DNB WORKING PAPERS,2,0,0,0,0,0,2,0,0,0,,0,0
243, ,EC PERSPECTIVES,2,0,0,0,0,0,0,0,0,0,,0,2
244, ,ECB OCCASIONAL PAPER,2,0,0,0,0,0,1,0,0,1,,0,0
245,0.922,ECON INQ,2,0,0,0,1,0,1,0,0,0,,0,0
246, ,ECONOMETICA,2,0,0,0,0,0,0,0,0,0,,0,2
247, ,ECONOMETRICS JOURNAL,2,0,0,0,0,0,0,0,0,0,,0,2
248, ,EMPIRICAL COMP METHO,2,0,0,0,0,0,0,0,0,0,,0,2
249, ,EMPIRICAL MODEL DISC,2,0,0,2,0,0,0,0,0,0,,0,0
250, ,EMPIRICAL MODELING E,2,0,0,0,0,0,0,0,0,0,,0,2
251, ,ENVIRONMETRICS,2,0,0,1,0,0,1,0,0,0,,0,0
252, ,EXTREMES,2,0,0,0,0,0,0,0,0,0,,0,2
253, ,FED RESERVE BULL,2,0,0,0,0,0,0,0,0,0,,0,2
254, ,FINANCE AND ECONOMIC,2,0,2,0,0,0,0,0,0,0,,0,0
255, ,FORECASTING EC TIME,2,0,0,0,0,0,0,0,0,0,,0,2
256, ,FORECASTING NONSTATI,2,0,0,0,0,0,0,0,0,0,,0,2
257, ,FRONT ECON GLOBAL,2,0,0,0,0,0,0,0,0,2,,0,0
258, ,FUZZY OPTIMIZ D,2,0,0,2,0,0,0,0,0,0,,0,0
259, ,HANDB COMPUT FI,2,0,0,0,0,1,0,1,0,0,,0,0
260, ,HANDB STAT,2,0,0,0,0,1,0,0,0,0,,0,1
261, ,HDB ENERGY CLIMATE C,2,0,0,0,2,0,0,0,0,0,,0,0
262, ,IEEE IJCNN,2,0,0,0,0,0,0,0,0,0,,1,1
263, ,IEEE T ENERGY CONVER,2,0,0,0,0,0,0,0,2,0,,0,0
264, ,IEEE T KNOWL DATA EN,2,0,0,0,0,0,1,0,1,0,,0,0
265, ,IEEE T PATTERN ANAL,2,0,0,0,0,0,0,0,0,0,,0,2
266, ,IEEE T POWER AP SYST,2,0,0,0,0,0,0,0,0,0,,0,2
267,1.488,IMA J MANAG MATH,2,0,0,1,0,0,0,0,0,0,,0,1
268,1.000,IMF ECON REV,2,0,0,0,0,0,1,1,0,0,,0,0
269, ,INT ADV EC RES,2,0,0,0,0,2,0,0,0,0,,0,0
270, ,INT FINANCE DISCUSSI,2,0,0,0,2,0,0,0,0,0,,0,0
271, ,INT J APPL FORECAST,2,0,0,0,0,0,0,0,0,0,,0,2
272,0.511,INT J FINANC ECON,2,0,0,0,1,0,0,0,0,0,,1,0
273, ,INT J FOREC IN PRESS,2,2,0,0,0,0,0,0,0,0,,0,0
274, ,INT J PROD RES,2,0,0,1,1,0,0,0,0,0,,0,0
275,1.745,INT T OPER RES,2,0,0,0,0,1,0,0,0,0,,0,1
276,0.624,INT TAX PUBLIC FINAN,2,0,0,0,0,1,0,0,0,0,,0,1
277, ,INTEREST PRICES FDN,2,0,0,0,0,0,0,0,0,0,,0,2
278, ,INTRO MULTIVAR S,2,0,0,0,0,0,0,0,0,0,,0,2
279, ,J ACCOUNTING AUDITIN,2,0,0,0,0,0,0,1,1,0,,0,0
280, ,J APPL ECON IN PRESS,2,1,1,0,0,0,0,0,0,0,,0,0
281, ,J ASIAN EC,2,0,0,0,0,0,0,1,0,1,,0,0
282,1.276,J BUS FINAN ACCOUNT,2,0,0,0,0,0,0,0,0,0,,0,2
283,3.354,J BUS RES,2,0,1,0,0,0,1,0,0,0,,0,0
284, ,J COMPUT GRAPH STAT,2,0,0,0,0,0,1,1,0,0,,0,0
285, ,J COMPUT SYST SCI,2,0,0,0,0,0,0,0,0,0,,0,2
286,1.579,J CORP FINANC,2,0,1,0,0,0,0,0,1,0,,0,0
287,1.275,J ECON PSYCHOL,2,0,0,0,1,0,0,0,0,1,,0,0
288,1.147,J ECON THEORY,2,0,0,0,0,0,0,0,0,0,,0,2
289,0.542,J JPN INT ECON,2,0,0,0,0,0,0,0,0,0,,0,2
290, ,J MARKETING ED,2,0,0,0,0,0,0,0,0,0,,0,2
291, ,J POPULATION RES,2,0,1,1,0,0,0,0,0,0,,0,0
292,3.759,J PROD INNOVAT MANAG,2,0,0,0,0,0,0,0,0,0,,0,2
293, ,J R STAT SOC D-STAT,2,0,0,0,0,0,0,0,0,0,,0,2
294,3.772,J RETAILING,2,0,0,0,0,0,0,0,0,0,,1,1
295, ,J RISK FINANCE,2,0,0,0,0,0,0,0,0,0,,0,2
296, ,J STAT COMPUT SIM,2,0,0,0,0,1,0,0,0,0,,0,1
297,1.604,JUDGM DECIS MAK,2,0,0,1,1,0,0,0,0,0,,0,0
